DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
-Sep-2017,2017.0,Unprovoked,SOLOMON ISLANDS,,Owarigi Island,spearfishing,Foot bitten,N,,Sep,Fishing,unknown
3-Sep-2017,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"swimming, poaching abalone",FATAL,Y,,Sep,Swiming,unknown
3-Sep-2017,2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,surfing,Injury to ankle & feet,N,,Sep,Surfing,unknown
2-Sep-2017,2017.0,Unprovoked,USA,Florida,"Marathon, Monroe County",swimming,Lacerations to abdomen,N,Nurse shark,Sep,Swiming,nurse shark
2-Sep-2017,2017.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",swimming,Lacerations to foot,N,,Sep,Swiming,unknown
2-Sep-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to right hand,N,,Sep,Surfing,unknown
29-Aug-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,surfing,"No injury, board bitten",N,"White shark, 3 m",Aug,Surfing,white shark
27-Aug-2017,2017.0,Unprovoked,USA,Florida,Bathtub Beach ,wading,Leg injured,N,,Aug,wading,unknown
26-Aug-2017,2017.0,Invalid,SPAIN,Castell�n,Grao de Moncofa,swimming,Lacerations to left foot,UNKNOWN,Shark involvement questionable,Aug,Swiming,shark involvement questionable
26-Aug-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,canoeing,"No injury, shark bit canoe",N,,Aug,canoeing,unknown
23-Aug-2017,2017.0,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",sup,Not injured by shark but board bitten,N,"White shark, 5' to 7'",Aug,sup,white shark
8-Aug-2017,2017.0,Unprovoked,BAHAMAS,,,spearfishing,Hand injured,N,5' shark,Aug,Fishing,5' shark
-Aug-2017,2017.0,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",swimming,Minor cuts to sole & toes of left foot,N,Possibly a juvenile blacktip shark,Aug,Swiming,blacktip shark
5-Aug-2017,2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,snorkeling,Bite to right leg/hip,N,"Oceanic whitetip shark, 1.8 to 2 m",Aug,snorkeling,white shark
3-Aug-2017,2017.0,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",fishing,Foot bitten by landed shark PROVOKED INCIDENT,N,4' shark,Aug,Fishing,4' shark
-Aug-2017,2017.0,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",kayaking / fishing,"No injury, bow of kayak bitten",N,"White shark, 10'",Aug,Fishing,white shark
31-Jul-2017,2017.0,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",skimboarding,Lacerations to lower leg,N,,Jul,skimboarding,unknown
29-Jul-2017,2017.0,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,Abrasions and cuts to sole of foot,UNKNOWN,A small shark,Jul,Swiming,a small shark
29-Jul-2017,2017.0,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,Bite to left thigh / minor injury,N,,Jul,Fishing,unknown
27-Jul-2017,2017.0,Unprovoked,BAHAMAS,New Providence District,Rose Island,snorkeling,Foot & ankle injured,N,,Jul,snorkeling,unknown
26-Jul-2017,2017.0,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,,spearfishing,Severe lacerations to left hand,N,,Jul,Fishing,unknown
24-Jul-2017,2017.0,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",Ascension Island,English Bay,surfing,Torso bitten,N,,Jul,Surfing,unknown
23-Jul-2017,2017.0,Unprovoked,USA,New Jersey,Ventnor,,Minor injury to hand,N,Sandtiger shark  2',Jul,Fishing,tiger shark
23-Jul-2017,2017.0,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",swimming,Abrasion to arm from shark's rough skin,N,Blue shark 6',Jul,Swiming,blue shark 6'
22-Jul-2017,2017.0,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,Foot bitten,N,"""A small shark""",Jul,Fishing,"""a small shark"""
20-Jul-2017,2017.0,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,Foot injured,UNKNOWN,Shark involvement not confirmed,Jul,Swiming,shark involvement not confirmed
20-Jul-2017,2017.0,Boating,USA,California,"Stearns Wharf, Santa Barbara",kayaking,"No injury, kayak bitten",N,"White shark, 11' to 13'",Jul,kayaking,white shark
20-Jul-2017,2017.0,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",sup,"No injury, shark bit paddleboard",N,"White shark, 8' to 10'",Jul,sup,white shark
